Date,Area Name,Road/Intersection Name,Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Incident Reports,Environmental Impact,Public Transport Usage,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Weather Conditions,Roadwork and Construction Activity,Latitude,Longitude
2022-01-01,Indiranagar,100 Feet Road,50590,50.23029856408026,1.5,100.0,100.0,0,151.18,70.63233020424546,84.04460046972835,85.40362888980228,111,Clear,No,12.9506526,77.6392151
2022-01-01,Indiranagar,CMH Road,30825,29.377124707590276,1.5,100.0,100.0,1,111.65,41.92489889519251,91.40703845572054,59.98368910791799,100,Clear,No,12.9783128,77.6375862
2022-01-01,Whitefield,Marathahalli Bridge,7399,54.47439821046639,1.0390688456025536,28.34799386357647,36.39652493739601,0,64.798,44.66238370778891,61.375540844608736,95.4660201039391,189,Clear,No,12.9564915,77.7067726
2022-01-01,Koramangala,Sony World Junction,60874,43.817610389486106,1.5,100.0,100.0,1,171.748,32.7731231534285,75.54709158757927,63.5674515886948,111,Clear,No,12.9341611,77.62337839999999
2022-01-01,Koramangala,Sarjapur Road,57292,41.11676288840868,1.5,100.0,100.0,3,164.584,35.09260099809909,64.63476238100519,93.15517129377967,104,Clear,No,12.91087,77.6843978
2022-01-01,M.G. Road,Trinity Circle,47848,34.241962549718146,1.5,100.0,100.0,3,145.696,39.92787128509848,61.01676506976381,55.39457134966522,94,Overcast,No,12.97303,77.6168395
2022-01-01,M.G. Road,Anil Kumble Circle,36574,29.98242956415464,1.5,100.0,100.0,3,123.148,72.47912989429844,81.57368967662603,90.37200775820313,115,Clear,No,12.9746905,77.6094613
2022-01-01,Jayanagar,Jayanagar 4th Block,25379,38.45517943888766,1.5,79.03882287608127,100.0,2,100.758,46.315343522035626,88.12075835580711,68.1814801189647,92,Clear,No,12.9259401,77.5830419
2022-01-01,Jayanagar,South End Circle,25022,35.039373044314026,1.5,78.97959595139889,100.0,1,100.044,44.26169321942941,99.42601816442402,62.10276357557502,105,Clear,No,12.9383208,77.58007479999999
2022-01-01,Hebbal,Hebbal Flyover,31760,56.90455625809979,1.5,97.67246206775482,100.0,1,113.52,12.854259908833471,83.63571772752968,83.87821809211411,91,Clear,No,13.0413327,77.5898382
2022-01-01,Hebbal,Ballari Road,38446,26.144876261711516,1.5,100.0,100.0,3,126.892,48.86405681196237,81.18602313424026,62.092614545022585,84,Overcast,No,13.0420045,77.5902679
2022-01-01,Yeshwanthpur,Yeshwanthpur Circle,15043,47.96984673233186,1.3548345697060469,55.74084425048581,76.63531646154289,0,80.086,21.314009986622963,95.94216754108317,80.3214529829795,105,Clear,No,13.0250302,77.53402419999999
2022-01-02,Indiranagar,100 Feet Road,22050,52.87084603742452,1.130159879263707,78.42982810236049,100.0,3,94.1,35.74010621416035,70.60809470726902,62.19948216895418,115,Fog,No,12.9506526,77.6392151
2022-01-02,Indiranagar,CMH Road,37877,26.42842443583717,1.5,100.0,100.0,1,125.754,75.832100904704,98.1571430801035,95.74321951102245,96,Overcast,No,12.9783128,77.6375862
2022-01-02,Koramangala,Sarjapur Road,29106,43.56398794323472,1.5,90.40985493372185,100.0,3,108.212,53.05050586894188,99.60215400417052,57.0042007618262,100,Fog,No,12.91087,77.6843978
2022-01-02,M.G. Road,Trinity Circle,53217,37.57207490980107,1.5,100.0,100.0,5,156.434,33.65966097960751,75.02331810559775,54.69909699204345,102,Clear,No,12.97303,77.6168395
2022-01-02,M.G. Road,Anil Kumble Circle,37584,45.889505969673664,1.5,100.0,100.0,2,125.168,15.97432254956376,62.06726884674431,76.5677315784074,101,Fog,No,12.9746905,77.6094613
2022-01-02,Jayanagar,Jayanagar 4th Block,16676,53.52433334796224,1.1755885682822544,47.15579429351197,78.63350743415457,2,83.352,38.62670610899889,66.93177280283383,57.8218521335543,92,Fog,No,12.9259401,77.5830419
2022-01-02,Jayanagar,South End Circle,37509,51.5135098647949,1.5,100.0,100.0,1,125.018,63.04922773250584,60.57573954519023,55.80363202534581,76,Overcast,No,12.9383208,77.58007479999999
2022-01-02,Hebbal,Hebbal Flyover,6758,34.756123586657104,1.069280747964006,21.203699651426128,32.77504734397373,1,63.516,13.171280684043117,74.98450458505884,81.29299578571182,200,Rain,No,13.0413327,77.5898382
2022-01-02,Hebbal,Ballari Road,30209,31.1468640313824,1.5,100.0,100.0,2,110.418,48.193175252115445,97.658592351061,69.30513189003871,90,Clear,Yes,13.0420045,77.5902679
2022-01-02,Yeshwanthpur,Yeshwanthpur Circle,20375,40.06999065341167,1.3379501243877818,58.38210538138319,100.0,0,90.75,18.271537933515937,87.86948661456603,81.4471423389942,113,Overcast,No,13.0250302,77.53402419999999
2022-01-02,Yeshwanthpur,Tumkur Road,15636,32.794298957181454,1.3105651842967987,48.93607080506035,82.48757325603566,1,81.27199999999999,62.56097474540481,90.1817149633873,55.15619344179663,115,Overcast,No,13.0254153,77.5460312
2022-01-03,Indiranagar,100 Feet Road,23457,38.86905317091622,1.380024786820322,87.20214293875112,100.0,2,96.914,33.006518175894115,86.90073824308153,87.618726471884,109,Clear,No,12.9506526,77.6392151
2022-01-03,Indiranagar,CMH Road,38925,33.52942618497861,1.5,100.0,100.0,1,127.85,53.27526443213827,64.04490704491161,54.20534030574987,106,Overcast,No,12.9783128,77.6375862
2022-01-03,Whitefield,Marathahalli Bridge,9154,40.2261826942468,1.3788994309535434,40.23335460979075,48.30378185258941,0,68.30799999999999,15.845050168906813,91.08587663709748,77.92021248679025,197,Clear,No,12.9564915,77.7067726
2022-01-03,Whitefield,ITPL Main Road,24968,36.72769056447677,1.2984179517061691,84.89404196860987,100.0,1,99.936,70.80193897326222,68.9438335407781,98.16112697203056,82,Windy,No,12.9865152,77.7440913
2022-01-03,Koramangala,Sony World Junction,51459,27.326524371119504,1.5,100.0,100.0,0,152.918,29.667423271456123,98.01645936306237,94.51318919454582,99,Clear,No,12.9341611,77.62337839999999
2022-01-03,Koramangala,Sarjapur Road,28481,36.50393786476208,1.5,100.0,100.0,2,106.962,66.96565137948642,87.38924690215518,58.130846967244565,116,Overcast,No,12.91087,77.6843978
2022-01-03,Jayanagar,Jayanagar 4th Block,10179,40.30824347895295,1.3949104517259778,26.938337822070565,51.83630715352135,0,70.358,77.89400784702222,93.68475692542836,91.91643523555688,199,Clear,Yes,12.9259401,77.5830419
2022-01-04,Indiranagar,100 Feet Road,46199,41.228499323474985,1.5,100.0,100.0,2,142.398,57.01904790840997,84.72512961831583,67.90813590164203,86,Clear,No,12.9506526,77.6392151
2022-01-04,Indiranagar,CMH Road,56242,52.55340842443204,1.5,100.0,100.0,0,162.48399999999998,12.014787341933728,90.20549022694476,81.01547756767323,106,Clear,Yes,12.9783128,77.6375862
2022-01-04,Whitefield,Marathahalli Bridge,20450,24.607678222398995,1.3616634777974994,65.13177600713266,100.0,1,90.9,53.54606901595115,94.4945483498698,97.47603118288212,100,Clear,No,12.9564915,77.7067726
2022-01-04,Whitefield,ITPL Main Road,13391,51.69672548830039,1.0303453312434656,37.21426110487965,63.23545838957772,0,76.782,19.71790208545871,85.63498979212858,59.09400421995724,194,Clear,No,12.9865152,77.7440913
2022-01-04,Koramangala,Sony World Junction,28369,29.409745067661436,1.5,86.33738400847444,100.0,1,106.738,35.498890273365284,80.13669083419427,84.51974143146826,104,Overcast,No,12.9341611,77.62337839999999
2022-01-04,Koramangala,Sarjapur Road,31228,42.57507710047305,1.5,97.78375372046088,100.0,2,112.456,35.82395476988407,78.50138864532592,87.37354690668784,73,Fog,No,12.91087,77.6843978
2022-01-04,M.G. Road,Trinity Circle,34180,37.03463635867223,1.5,100.0,100.0,0,118.36,32.54554159082248,68.45792027986178,66.37486760889573,103,Fog,No,12.97303,77.6168395
2022-01-04,M.G. Road,Anil Kumble Circle,43569,40.38910043684659,1.5,100.0,100.0,1,137.138,55.214206893212086,82.83113218675648,67.80483629489231,92,Clear,No,12.9746905,77.6094613
2022-01-04,Jayanagar,Jayanagar 4th Block,16342,39.54830800668156,1.35870616985057,46.07800824656617,81.95511389570255,0,82.684,78.76650318360245,64.4815560867221,69.89277995228709,110,Clear,No,12.9259401,77.5830419
2022-01-04,Yeshwanthpur,Yeshwanthpur Circle,19306,34.979532763712655,1.170174575446567,64.50554090702242,93.9540973241508,0,88.612,52.74340297091428,71.54522212961024,79.06191107113061,88,Clear,Yes,13.0250302,77.53402419999999
2022-01-04,Yeshwanthpur,Tumkur Road,16012,39.23108130476851,1.1018562619055057,57.00338777781191,82.66227859889686,0,82.024,43.01033319851109,76.47363656589074,67.44341332714977,118,Windy,No,13.0254153,77.5460312
2022-01-05,Indiranagar,100 Feet Road,49952,50.80134095075202,1.5,100.0,100.0,2,149.904,21.498605855169508,92.58298880925528,83.25986103481,101,Overcast,No,12.9506526,77.6392151
2022-01-05,Indiranagar,CMH Road,33970,20.0,1.5,100.0,100.0,1,117.94,72.9702201292198,75.35564885492846,77.17764305569943,116,Clear,No,12.9783128,77.6375862
2022-01-05,Whitefield,ITPL Main Road,17018,57.473270552317246,1.2133844367905289,64.60451832768582,87.97597211224532,0,84.036,31.820544745688377,69.93956559257863,87.19731462863385,108,Clear,No,12.9865152,77.7440913
2022-01-05,Koramangala,Sony World Junction,58920,25.21236284217693,1.5,100.0,100.0,2,167.84,54.88033430197081,87.75793777868401,77.13622216737981,92,Clear,No,12.9341611,77.62337839999999
2022-01-05,Koramangala,Sarjapur Road,46963,34.44415329089545,1.5,100.0,100.0,2,143.926,71.0486736260906,97.28473129934449,78.25665917946044,106,Clear,No,12.91087,77.6843978
2022-01-05,Jayanagar,Jayanagar 4th Block,18111,55.94191518470949,1.2365101742979716,58.35005407740261,86.10261638822031,0,86.22200000000001,66.19974140186079,60.18528092018411,66.6749585845572,97,Overcast,No,12.9259401,77.5830419
2022-01-05,Jayanagar,South End Circle,22491,42.39264835108181,1.180975806453077,67.787140407596,100.0,0,94.982,39.32478146531835,96.593836042724,68.11969495583165,102,Clear,No,12.9383208,77.58007479999999
2022-01-05,Hebbal,Hebbal Flyover,38924,23.934740912583298,1.5,100.0,100.0,2,127.848,62.49723292794245,68.39622372382343,94.90271447203568,90,Clear,No,13.0413327,77.5898382
2022-01-05,Yeshwanthpur,Yeshwanthpur Circle,25165,20.0,1.5,82.6985882720979,100.0,1,100.33,22.73496913466898,94.47142484054068,97.30577310668164,96,Rain,No,13.0250302,77.53402419999999
2022-01-05,Yeshwanthpur,Tumkur Road,15871,57.71555094994159,1.0108383970013934,47.34277657199232,76.66574796588071,1,81.742,17.28760073892017,91.99664341492758,58.92723310271669,104,Clear,No,13.0254153,77.5460312
2022-01-06,Indiranagar,100 Feet Road,46556,46.59329803364248,1.5,100.0,100.0,2,143.112,15.985597159812766,68.31545020584109,51.32661019369099,89,Clear,No,12.9506526,77.6392151
2022-01-06,Indiranagar,CMH Road,22591,30.915387036364404,1.236117977005923,70.66460614979086,100.0,2,95.182,30.612603167934235,97.93813227848626,88.18028970798804,100,Fog,No,12.9783128,77.6375862
2022-01-06,Whitefield,Marathahalli Bridge,20310,51.72257284413772,1.103155074173281,60.48712148145648,100.0,1,90.62,22.01755000938125,70.89229306077476,50.919533827373336,117,Clear,No,12.9564915,77.7067726
2022-01-06,Koramangala,Sony World Junction,61024,44.82690983945514,1.5,100.0,100.0,2,172.048,36.81969697746482,80.75670821131351,52.34829833875276,89,Clear,No,12.9341611,77.62337839999999
2022-01-06,Koramangala,Sarjapur Road,28153,21.483153943836665,1.5,98.22425143701824,100.0,4,106.306,25.045826501352973,61.24732540245139,63.11320221499125,103,Clear,No,12.91087,77.6843978
2022-01-06,M.G. Road,Trinity Circle,12965,62.7080063563551,1.2753609585710943,41.91321343874159,62.28902033239107,2,75.93,29.050159606097388,83.60922667476348,68.04869484700134,198,Clear,No,12.97303,77.6168395
2022-01-06,M.G. Road,Anil Kumble Circle,57145,45.62209850913712,1.5,100.0,100.0,1,164.29000000000002,79.13676055976529,97.76237358746454,51.9713405684253,89,Overcast,Yes,12.9746905,77.6094613
2022-01-06,Jayanagar,South End Circle,40516,34.19584226291008,1.5,100.0,100.0,1,131.03199999999998,51.73889149374372,69.20035349150812,56.02834428886394,82,Clear,No,12.9383208,77.58007479999999
2022-01-06,Hebbal,Hebbal Flyover,22893,46.965547765115744,1.127501001172828,78.82782752874019,100.0,2,95.786,70.90692117306509,60.850776434015486,93.73508363420996,101,Fog,No,13.0413327,77.5898382
2022-01-06,Hebbal,Ballari Road,28470,20.0,1.5,97.4501092643674,100.0,3,106.94,61.630761111222405,69.55108583073209,55.52370565656973,96,Clear,No,13.0420045,77.5902679
2022-01-06,Yeshwanthpur,Yeshwanthpur Circle,6965,47.3421473253652,1.1537306588638727,26.80961232052806,32.00753887865064,2,63.93,39.23065430494498,95.16473230248658,97.2366011145705,199,Clear,No,13.0250302,77.53402419999999
2022-01-06,Yeshwanthpur,Tumkur Road,32668,51.21108557787716,1.5,100.0,100.0,1,115.336,23.05067835009782,91.18337894267012,67.5062629583365,97,Rain,No,13.0254153,77.5460312
2022-01-07,Indiranagar,100 Feet Road,24405,29.84255885002768,1.2371759739366812,82.95172415675621,100.0,2,98.81,72.2123655908284,98.22605992919014,93.10638086327252,110,Clear,Yes,12.9506526,77.6392151
2022-01-07,Indiranagar,CMH Road,25768,25.49316208594673,1.5,85.81084803490874,100.0,2,101.536,69.5844839834138,79.80586108055897,74.0293288663324,103,Clear,No,12.9783128,77.6375862
2022-01-07,Whitefield,ITPL Main Road,34362,46.08703580582908,1.5,100.0,100.0,5,118.724,21.10235737051516,95.23483036795712,93.5921763872616,87,Fog,No,12.9865152,77.7440913
2022-01-07,Electronic City,Silk Board Junction,12382,45.46436548156149,1.2527254108066672,36.46940495461653,63.25005703099611,0,74.764,64.58917766058005,64.27922555307833,88.05139512510141,202,Clear,No,12.9177099,77.62378629999999
2022-01-07,M.G. Road,Anil Kumble Circle,50214,36.94089992898308,1.5,100.0,100.0,0,150.428,50.75193221233913,73.83532227811827,81.04577588837385,108,Fog,Yes,12.9746905,77.6094613
2022-01-07,Jayanagar,Jayanagar 4th Block,21131,44.34249738927012,1.273318150642602,69.35472079420164,100.0,1,92.262,41.59709170307728,66.54495284766676,89.74047743749647,106,Clear,No,12.9259401,77.5830419
2022-01-07,Hebbal,Hebbal Flyover,39110,23.53041371266561,1.5,100.0,100.0,2,128.22,78.87843535718798,76.37336025260171,94.70496018395671,91,Clear,No,13.0413327,77.5898382
2022-01-07,Hebbal,Ballari Road,42022,34.7107511582513,1.5,100.0,100.0,5,134.04399999999998,12.276832564387634,96.83391391262748,80.8325157260369,109,Clear,No,13.0420045,77.5902679
2022-01-08,Indiranagar,100 Feet Road,36384,28.18948342525119,1.5,100.0,100.0,2,122.768,15.071282145619122,75.6997422562674,73.99694173585618,103,Rain,No,12.9506526,77.6392151
2022-01-08,Indiranagar,CMH Road,11033,44.5228864385802,1.096818006345011,46.5099185320096,51.589955429015134,0,72.066,53.270901402268336,88.09859882176416,77.98243417434571,201,Clear,Yes,12.9783128,77.6375862
2022-01-08,Whitefield,Marathahalli Bridge,16390,34.37367222583899,1.2757859876549065,60.64506731551499,78.9515024424481,0,82.78,17.31974882340802,85.45720998174546,85.32378632434506,78,Fog,No,12.9564915,77.7067726
2022-01-08,Koramangala,Sarjapur Road,65269,36.975996046924,1.5,100.0,100.0,2,180.538,14.224645879339466,69.88412936040586,57.97723400565942,113,Windy,No,12.91087,77.6843978
2022-01-08,Electronic City,Hosur Road,17926,66.42270358611864,1.2221454203750524,64.13736889877862,86.91454741331299,3,85.852,57.6159769701904,62.88793635916704,51.532625110290304,92,Overcast,No,12.8390049,77.6776749
2022-01-08,M.G. Road,Trinity Circle,22876,65.01737102530136,1.2901030641660545,75.98671216182738,100.0,2,95.752,51.46452300153536,96.49453382466764,60.53310945028333,104,Fog,No,12.97303,77.6168395
2022-01-08,M.G. Road,Anil Kumble Circle,49798,28.283766320619485,1.5,100.0,100.0,2,149.596,70.9524930890758,77.81221020010662,75.74086769648451,96,Clear,No,12.9746905,77.6094613
2022-01-08,Jayanagar,South End Circle,30323,27.919211338058588,1.5,93.69413988103364,100.0,1,110.646,15.144772313100887,66.79031620350163,75.98869742780089,95,Clear,No,12.9383208,77.58007479999999
2022-01-08,Yeshwanthpur,Yeshwanthpur Circle,13356,65.76747983560841,1.3376681795876788,50.63340305900106,67.63354364396753,1,76.712,17.834373357840953,70.78998446067959,52.85434280446575,201,Clear,No,13.0250302,77.53402419999999
2022-01-09,Indiranagar,CMH Road,38748,38.46488475897993,1.5,100.0,100.0,2,127.496,12.098151291087458,72.31719766364763,85.23403813683234,90,Windy,Yes,12.9783128,77.6375862
2022-01-09,Whitefield,ITPL Main Road,34188,25.82840194803964,1.5,100.0,100.0,4,118.376,12.12709417877858,97.23794782027912,84.47633755157806,105,Rain,No,12.9865152,77.7440913
2022-01-09,Koramangala,Sony World Junction,32010,32.4761995653555,1.5,100.0,100.0,3,114.02,56.73153698945093,92.31383767765034,88.11425673883079,109,Overcast,No,12.9341611,77.62337839999999
2022-01-09,Koramangala,Sarjapur Road,13903,30.599491174057057,1.1584690766437022,50.25267746713058,68.40058101270346,0,77.806,26.62808916120292,74.9300716651736,61.363481363157575,174,Rain,No,12.91087,77.6843978
2022-01-09,M.G. Road,Anil Kumble Circle,34831,20.0,1.5,100.0,100.0,5,119.662,23.704458997848228,60.30251499912568,82.37373570773015,115,Overcast,Yes,12.9746905,77.6094613
2022-01-09,Jayanagar,South End Circle,14614,44.0166037320525,1.1139491607847691,44.85913263185906,76.10025897832664,0,79.22800000000001,31.79153894092025,84.41335133243673,85.80753371115968,190,Clear,No,12.9383208,77.58007479999999
2022-01-09,Hebbal,Ballari Road,28195,38.19781934142537,1.5,95.3295777259114,100.0,4,106.39,54.320596291581566,98.05613368826629,80.08059100731656,110,Clear,No,13.0420045,77.5902679
2022-01-10,Indiranagar,100 Feet Road,43024,28.070948022040927,1.5,100.0,100.0,3,136.048,53.67015272736011,78.07070714948917,79.3304231587737,89,Overcast,No,12.9506526,77.6392151
2022-01-10,Indiranagar,CMH Road,13224,61.23396562299045,1.218678965085628,38.71894192231952,65.02905995905515,0,76.44800000000001,44.773680120141854,99.51142080859547,56.821987627836656,208,Clear,No,12.9783128,77.6375862
2022-01-10,Koramangala,Sony World Junction,31137,51.283966231285376,1.5,99.27321333119612,100.0,0,112.274,72.59336122648827,67.67469298874971,66.16857810577604,91,Clear,No,12.9341611,77.62337839999999
2022-01-10,Koramangala,Sarjapur Road,60935,20.0,1.5,100.0,100.0,2,171.87,56.86408686387331,99.7655744488467,83.09195949246893,102,Clear,Yes,12.91087,77.6843978
2022-01-10,M.G. Road,Trinity Circle,39508,20.8628550309502,1.5,100.0,100.0,4,129.01600000000002,26.42494572988175,75.97263663237233,57.62080066652087,101,Clear,No,12.97303,77.6168395
2022-01-10,M.G. Road,Anil Kumble Circle,39400,33.47530163619456,1.5,100.0,100.0,0,128.8,31.218984916173003,70.52450279643372,68.00682037357595,84,Clear,No,12.9746905,77.6094613
2022-01-10,Jayanagar,Jayanagar 4th Block,28165,59.92999517432791,1.5,100.0,100.0,4,106.33,67.22147959438341,75.22493173906321,93.89871602225348,113,Fog,No,12.9259401,77.5830419
2022-01-10,Jayanagar,South End Circle,28609,26.015320182089628,1.5,92.28532786408904,100.0,2,107.218,70.34101375908358,96.91028762053575,74.35309594094679,103,Clear,No,12.9383208,77.58007479999999
2022-01-10,Hebbal,Hebbal Flyover,18780,43.13028697014554,1.0103247627797949,55.30332578309645,98.53115111589172,0,87.56,77.6075512807254,77.29991513320527,65.59080665426298,100,Clear,No,13.0413327,77.5898382
2022-01-10,Hebbal,Ballari Road,27100,39.17190464382564,1.5,81.5603258755467,100.0,1,104.2,79.6406422018837,62.31122243985467,84.75176144292766,88,Clear,No,13.0420045,77.5902679
2022-01-10,Yeshwanthpur,Tumkur Road,16397,54.12435249259166,1.2495583345166552,55.1974959448997,81.2458338389037,0,82.794,72.06229506683266,77.99138595285291,59.73112559103825,96,Overcast,No,13.0254153,77.5460312
2022-01-11,Indiranagar,100 Feet Road,11423,20.0,1.0076769107292227,33.272930841567344,59.71789823122136,0,72.846,47.47170920168141,68.6080748806895,50.60603873219466,199,Clear,No,12.9506526,77.6392151
